from,to,tx_hash,operation_at,action,amount_out,token_out,amount_in,token_in,dex
0x0099d84A8679283ADc5FCBbDD63AEa992727FEa6,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xe3b1edd194fe05cb493942ac0a0ed10f73d4f9a548d2b0c83a62822670d2b357,2024-02-15 19:55:11.000000,Buy,"0,04", ETH,"0,09994228554", NO,Uniswap V3
0x07587c046d4d4BD97C2d64EDBfAB1c1fE28A10E5,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x2ef93de9b2ddc41c2616b0a97d22c870d9cea67264e2151917a6f794d24b4445,2024-02-15 19:55:11.000000,Buy,"0,09634647154", ETH,"0,24", NO,Uniswap V3
0x15AE2822346c828C859C63fc3555A02a93DD3abf,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x7277cea6037ef689db935792a21678c1e9c88836efdee8b0fa840e6887d95a06,2024-02-15 19:55:11.000000,Buy,1, ETH,"2,495311867", NO,Uniswap V3
0x67Db3952fAf2B7b94c0700eaFaEBB672E8f2c66F,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xecc0def7110b0811871a1715728e5087f762b660700c90fa2302e5a0340a3d28,2024-02-15 19:55:11.000000,Buy,"0,5", ETH,"1,247805002", NO,Uniswap V3
0x68AE44e5fe22551C7e1BbCC59CA4d94778f49C05,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xc0dc39c0fa9dde90dd051fd119762193cecd26973887424865b2ba107a9c606c,2024-02-15 19:55:11.000000,Buy,"0,1", ETH,"0,2488610659", NO,Uniswap V3
0x6AB3Bed16048203083F91a56F6b98Ca0Bf603B15,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xd87b160c357f899105cd76ccfb339899e2a1ce7a960e3e727c35568dff2e02c9,2024-02-15 19:55:11.000000,Buy,"1,7", ETH,"4,245384028", NO,Uniswap V3
0x810078660bb1C7FE1b225a8c4Fcb8dC850e035e6,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x208f2d1b9324347666f163762bb4058cc6a83e6716f168a1cce92029eac777c6,2024-02-15 19:55:11.000000,Buy,2, ETH,"4,986245636", NO,Uniswap V3
0x81228A6a38119FDBFDDc878a8D670EdfA0FDB600,0x3328F7f4A1D1C57c35df56bBf0c9dCAFCA309C49,0x7f22e3dbe1cfdd436950cdaada2ca34b67f816214d0500453905d0983163eabb,2024-02-15 19:55:11.000000,Buy,"0,1990049751", ETH,"0,4965372246", NO,Uniswap V3
0x89FE1d4220370175D12749cAc0E8A4bc8b5d8b8B,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xc03a29f472039f8d1d67b9a692c59f997cc23b99c198c211f633bd7cafc942f2,2024-02-15 19:55:11.000000,Buy,"0,2", ETH,"0,4978676195", NO,Uniswap V3
0xAfe7485217229c6eB88a284B2633c7bFDD1be126,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x4dd8b7767d35b43a45d8c6ecb5b22a483f5eb5603749cdfc9f3a1759483165f2,2024-02-15 19:55:11.000000,Buy,"0,15", ETH,"0,3732643275", NO,Uniswap V3
0xb1Ee572249C0E647759d0D02b0a4484f23A527D3,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x7db278f1981eee3675cdcf1cda8c80873fc558a4dec070fdf9b8864d57e9ad06,2024-02-15 19:55:11.000000,Buy,1, ETH,"2,490211494", NO,Uniswap V3
0xC26C29f2D6BBB1AF5D4e36624c7a843cA5051379,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x38f36f0c8c8571a13792d65261f862b31e69b693650d333cb5f92f7532a5a2a6,2024-02-15 19:55:11.000000,Buy,"0,1", ETH,"0,2488756121", NO,Uniswap V3
0xDf795fb27e184B4272bb5eE3A189DB42925F63e9,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x1d20144ce513db8b421850c5e4d68164f3b796b5f03124fddce24b0ba71b608e,2024-02-15 19:55:11.000000,Buy,"0,25", ETH,"0,6222526781", NO,Uniswap V3
0xE28D4Bb9D268a5a1EC46Cf51bd41A2D120fcE11c,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xe19952d6e1d77473f05d358d9868de3d6ca3bc87224e487b8b7d7ada4759f5f3,2024-02-15 19:55:11.000000,Buy,"0,4013852108", ETH,1, NO,Uniswap V3
0xEE4Ab70181664e782F00d33666FD2df3751190A7,0x80a64c6D7f12C47B7c66c5B4E20E72bc1FCd5d9e,0x3b71bf913f43f6aff81e92bb73983f56408dec3927150852f82b6965e0bbca1f,2024-02-15 19:55:11.000000,Buy,"0,5", ETH,"1,248170256", NO,Uniswap V3
0x0b7C57A13b1FCf185cbDF40382c721429b4352f0,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x5be8f5a2e90b8149661d89e1f274aa7c51c738fddc00853ba8521039be08035e,2024-02-15 19:55:23.000000,Buy,10, ETH,"24,84091687", NO,Uniswap V3
0x11111171f17D34E7B2486271dD504aEdEF56d415,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x445a96c62ae3b1cc010a959cfe2e0d67b9762e35feb2ea5caae559e63e893eed,2024-02-15 19:55:23.000000,Buy,"0,2067337943", ETH,"0,5", NO,Uniswap V3
0x1cbD28D1EF18aEF1ED1d7E883E040640170DfFF4,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xf17d5d029296595fc66ca355272ef61ec97e154a332c918c5e57586b7b413ba0,2024-02-15 19:55:23.000000,Buy,"7,700120271", ETH,19, NO,Uniswap V3
0x2DaF79EC40a73aDcea9BBacEB51B4f5fc65F96c6,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xd5092cd8dd06044871cbd9e679f046b6bf7e80fd344735ab6c932a0a8b40e34b,2024-02-15 19:55:23.000000,Buy,"0,04", ETH,"0,09671593195", NO,Uniswap V3
0x508A1a1E84c3FF780f752A5DfdA1af9678C3D16D,0x80a64c6D7f12C47B7c66c5B4E20E72bc1FCd5d9e,0x7f3f3cdeeb53f53ed50a9961fb47f0cb9f55a8ded89401f01e353118397c1d31,2024-02-15 19:55:23.000000,Buy,"0,5", ETH,"1,243809247", NO,Uniswap V3
0x521a19447042929AF76d1b4962add2ec2959dB72,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x27591f7507767763a49fe1d2cc0802eb3e1e9ee5c3ca14580cc6bcf64857f966,2024-02-15 19:55:23.000000,Buy,"0,05", ETH,"0,1208449855", NO,Uniswap V3
0x6958ddB575D41AcB45C0b333eCae7C439C725E32,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3610b572246ab73930649a1eadcf77f33a23e4f435fc83ff4936b5b47cfc3d61,2024-02-15 19:55:23.000000,Buy,"0,15", ETH,"0,3680746486", NO,Uniswap V3
0x6D9EF80EAEa16b30e9Ac8C39AED3aD623e0FceE6,0x80a64c6D7f12C47B7c66c5B4E20E72bc1FCd5d9e,0x1626797bd145751db635eed6f81e420f10997ffc0bc9af35082cf14e69660213,2024-02-15 19:55:23.000000,Buy,1, ETH,"2,490643508", NO,Uniswap V3
0x7471e603a5e90136d678C919884048B227f5ba5D,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x408c0a975aa6df498a85ce8726a1044d218c4e95d5d5960f4aeef052488300ca,2024-02-15 19:55:23.000000,Buy,"0,03", ETH,"0,07464011257", NO,Uniswap V3
0x7baB0C36D454f2B9F63c7E3173Db4F483638745b,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x5844a5e9af5f542b6e3932f4d3afefb3be07b17ac5d9ffd7c3af9c6096d34eac,2024-02-15 19:55:23.000000,Buy,10, ETH,"24,35016607", NO,Uniswap V3
0x7E0D16c03fC7c14e24cFd4578EA11F582c43EE94,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x4fa63b9966806c1c445bfd51cf4253956b4352edf943c5ae45078a56a8d78f58,2024-02-15 19:55:23.000000,Buy,1, ETH,"2,48889827", NO,Uniswap V3
0x7E17BDe2837FbD83Aa096F16Ea6D3a076D29dd48,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xd043877ffdb533fbfbf5b17298b91ff5072f95acec372c065c1bed92ea85b846,2024-02-15 19:55:23.000000,Buy,"0,4", ETH,"0,9811517194", NO,Uniswap V3
0x97B62389645992cA9c09F28E02027dba0c9DAb01,0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,0x76a755561de0140bdea2e32f5ad63dca7736571521a9e3c78247c3d05d1f1fda,2024-02-15 19:55:23.000000,Buy,"0,1", ETH,"0,2488098267", NO,Uniswap V3
0x9Ab6fbfbAc7484bDf33FF1AdCf32A7CF472285AB,0x3328F7f4A1D1C57c35df56bBf0c9dCAFCA309C49,0x554e3a93025c57cf03f63a81022b51804bdfee9b7d6e0dc1e2a8ccb8529a5ab3,2024-02-15 19:55:23.000000,Buy,"0,1990049751", ETH,"0,4954767381", NO,Uniswap V3
0xA2f672c5f4A9A1d2a53E7f7b719B4C6e130F7579,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x14cc6038a126a58792ceaf208066be3132a5233c0732f0db47d62c0cc4804484,2024-02-15 19:55:23.000000,Buy,"0,05", ETH,"0,1208534459", NO,Uniswap V3
0xbefD50e65548E23Be08270541b9FeEf94B7cb07b,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xebd43f64af7b77c1d001029cd927346f9756bf60077259ac8fb2bf1884a6a4e4,2024-02-15 19:55:23.000000,Buy,"0,2", ETH,"0,483498406", NO,Uniswap V3
0xD80Cf41dd0Fe5e238967FF2D976d5c127562cd10,0xE592427A0AEce92De3Edee1F18E0157C05861564,0x59a4169e93dd8edf8292b171304c3f7b4b29d6d486574ff88de6d975f1028316,2024-02-15 19:55:23.000000,Buy,"3,523338356", ETH,"8,755947778", NO,Uniswap V3
0x06e045b036E4EDAB1C2497F1f828d932882f0E44,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x3a92f3a9f10f30305d12d7ad0091730847b45fdb5518de39b078663287a7ccac,2024-02-15 19:55:35.000000,Buy,2, ETH,"4,587255319", NO,Uniswap V3
0x193e75b60A4Ca8BC842Dc28604Afc6c41aFE972A,0x3328F7f4A1D1C57c35df56bBf0c9dCAFCA309C49,0x6beb988ce636193d2a0af505bab7aed7c949278c80675e5a9a49fb8d0d68fb4a,2024-02-15 19:55:35.000000,Buy,"3,980099502", ETH,"9,531565209", NO,Uniswap V3
0x396d340385D6B048fB015bCADc363D86E8c0506c,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0x8018ebe8eda19bef083682d0eb54b568b977e8dda385499ef17513a439aeb7df,2024-02-15 19:55:35.000000,Buy,"10,80464602", ETH,25, NO,Uniswap V3
0x3A66F0a668855aEa8A1Ba94134b1a7aC8Aa5D96A,0x3328F7f4A1D1C57c35df56bBf0c9dCAFCA309C49,0xa6e383f4a57bdc953cc3f495961c0759c6de03097efab12fc12580db4e019c73,2024-02-15 19:55:35.000000,Buy,"4,975124378", ETH,"11,67805153", NO,Uniswap V3
0x441296DBE7dca6af7cFe9B0C419d7F5A9f469546,0x3328F7f4A1D1C57c35df56bBf0c9dCAFCA309C49,0xca3f04bf271c1b9e53d614356c2db829d96365d01a60c7e68be036e8102135c8,2024-02-15 19:55:35.000000,Buy,"0,4975124378", ETH,"1,160859102", NO,Uniswap V3
0x72E19eEF1590AB5B091056eA8F5F08945F9e0F97,0x3328F7f4A1D1C57c35df56bBf0c9dCAFCA309C49,0xe7159a99e64021426610b2331153693dc8bf7f01d474c73e4b750c2114a4f0f2,2024-02-15 19:55:35.000000,Buy,"4,975124378", ETH,"11,98917202", NO,Uniswap V3
