Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2777.79620336348/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0xc760107f63362c1781f5f1a0f9d6631498dd2178dd2b263ffd18f261f3814a74,19235326,1708024235,2024-02-15 19:10:35,0x567abe53b9ea582245e35f31195b11cb23cb0057,,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,0,0,0,0.2108020133645940,585.565032385546,2825.35,,,60C06040
0x9616bd8bd1b1ddc68b6628e719cdb05bfed2244aa44af4213ea11fc4172ee8c2,19235350,1708024523,2024-02-15 19:15:23,0x567abe53b9ea582245e35f31195b11cb23cb0057,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.00703032705206156,19.5288157936202,2825.35,,,Set Pre URI
0x059a3e419c4e285e6017a6ac7c05a659b07cb0901672897c26e2b66b7af894c5,19235356,1708024595,2024-02-15 19:16:35,0xb6380198d5d96d9a950714f9eff9ebf283307180,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002419877107876680,6.72192544286603,2825.35,,,Set Skip NFT
0xe6e6507ebf5a480777d5a77e49049a4d059a05458117d3394291168fcedc06c1,19235358,1708024619,2024-02-15 19:16:59,0x4bb52299b9c3a165cf0d139b7821d4610de7235e,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002375891862148400,6.59974339427802,2825.35,,,Set Skip NFT
0x00658bfdf4e023b382dcf5e00cd93b7137a86ae1245be78b5674edfdb6211122,19235358,1708024619,2024-02-15 19:16:59,0x7ce9da83253afa7677c18815747a1adb271f92ca,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002375891862148400,6.59974339427802,2825.35,,,Set Skip NFT
0x708bcbad954fc954d9bd1cc611bdf6e6b35f2ae2c6e74b8920e3379317933f3b,19235359,1708024631,2024-02-15 19:17:11,0xfd778a71d95fa5df4a75b4c6ccbf885d236b6667,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002341803707195230,6.50505344686943,2825.35,,,Set Skip NFT
0x67371bd1ecf64cdd8a959ff3766f07261db18daf1e084140282d971f7611721c,19235359,1708024631,2024-02-15 19:17:11,0xcda31b98131b059fe6464963f1f474de6e13eb2b,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002341224484165890,6.50344448333762,2825.35,,,Set Skip NFT
0x3bc1f8eea4987192df0aed3a8958fb155490c99acfa297799bd949d10ac0ee68,19235361,1708024655,2024-02-15 19:17:35,0xcf2ee86daae7e364c7c05643e815c8d2498e2466,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002140821660893530,5.94676628170835,2825.35,,,Set Skip NFT
0xfd133635eccf2bec90fc5d7520204c822c6a3393e95105a57a648c1334f8ca79,19235361,1708024655,2024-02-15 19:17:35,0xf8ba72baef1e18dac02530d3aa7bf9db8b95cba5,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002140821660893530,5.94676628170835,2825.35,,,Set Skip NFT
0xf15d2fe432b647d5c1df4c20963784d6150cf50919eb5f00cd89b9d18385ae30,19235362,1708024667,2024-02-15 19:17:47,0xa6c33839cf37b63211b24d03dd0753a3415f898f,0xe99620545740a30dbf8b4601d2f7ddc99cc1dc42,,0,0,0,0.002210555571307670,6.14047287330243,2825.35,,,Set Skip NFT
